Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,8939690,-,-,-,-22.82,-47.07,0,609,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,0,23.1,1.19,0.153,0.62,0,0,0,0,7,20.400000000000002,0,0,0,0,0.256,85.05,114.66,0.9400000000000001,0.16,944,3.1,121,3
2019,1,1,1,0,22.400000000000002,1.2,0.148,0.62,0,0,0,0,0,20.700000000000003,0,0,0,0,0.256,90.24,124.10000000000001,0.9400000000000001,0.16,944,3,118,2.7
2019,1,1,2,0,21.900000000000002,1.2,0.138,0.62,0,0,0,0,0,20.700000000000003,0,0,0,0,0.255,93.11,130.96,0.93,0.16,943,2.9000000000000004,116,2.5
2019,1,1,3,0,21.5,1.21,0.135,0.62,0,0,0,0,0,20.6,0,0,0,0,0.255,94.73,134.07,0.93,0.16,943,2.9000000000000004,114,2.3000000000000003
2019,1,1,4,0,21.1,1.21,0.135,0.62,0,0,0,0,0,20.400000000000002,0,0,0,0,0.256,96.06,132.67000000000002,0.93,0.16,942,2.9000000000000004,111,2.1
2019,1,1,5,0,20.8,1.2,0.132,0.62,0,0,0,0,1,20.3,0,0,0,0,0.257,96.91,127.12,0.93,0.16,942,3,106,1.8
2019,1,1,6,0,20.6,1.18,0.14100000000000001,0.62,0,0,0,0,1,20.200000000000003,0,0,0,0,0.258,97.37,118.54,0.93,0.16,943,3.1,97,1.6
2019,1,1,7,0,20.400000000000002,1.1500000000000001,0.15,0.62,0,0,0,0,1,20.1,0,0,0,0,0.259,97.88,108.01,0.9400000000000001,0.16,944,3.3000000000000003,88,1.4000000000000001
2019,1,1,8,0,20.5,1.12,0.153,0.62,0,0,0,0,1,20,0,0,0,0,0.26,96.97,96.28,0.93,0.16,945,3.4000000000000004,83,1.4000000000000001
2019,1,1,9,0,22.3,1.1,0.156,0.62,41,233,67,0,0,20.3,41,233,0,67,0.26,88.62,83.65,0.9400000000000001,0.16,945,3.4000000000000004,68,1.9000000000000001
