Latitude (decimal degrees): -22.815
Longitude (decimal degrees): -47.063
Elevation (m): 615.0
Irradiance Time Offset (h): 0.0
month,year
1,2019
2,2007
3,2017
4,2012
5,2017
6,2008
7,2006
8,2012
9,2015
10,2014
11,2012
12,2020
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,22.91,82.34,0.0,-0.0,0.0,382.06,2.72,129.0,93150.0
20190101:0100,22.6,83.09,0.0,-0.0,0.0,376.82,2.68,125.0,93230.0
20190101:0200,22.3,83.84,0.0,-0.0,0.0,371.58,2.63,121.0,93200.0
20190101:0300,21.99,84.59,0.0,-0.0,0.0,366.34,2.59,116.0,93160.0
20190101:0400,21.69,85.34,0.0,-0.0,0.0,361.09,2.55,110.0,93090.0
20190101:0500,21.38,86.1,0.0,-0.0,0.0,355.85,2.5,97.0,93090.0
20190101:0600,21.08,86.85,0.0,-0.0,0.0,350.61,2.46,75.0,93110.0
20190101:0700,20.77,87.6,0.0,-0.0,0.0,345.37,2.42,96.0,93150.0
20190101:0800,20.43,89.9,0.0,-0.0,0.0,358.2,1.59,74.0,93210.0
20190101:0900,20.47,86.9,163.4,1015.22,53.35,359.75,1.45,52.0,93300.0
20190101:1000,23.59,68.95,398.55,952.83,84.9,369.85,1.72,17.0,93370.0
20190101:1100,25.43,62.65,557.7,756.16,151.0,372.55,2.69,356.0,93430.0
20190101:1200,26.47,60.7,662.1,711.47,149.7,401.4,3.03,353.0,93450.0
20190101:1300,27.47,56.95,718.0,614.9,186.85,414.9,3.03,346.0,93460.0
20190101:1400,28.6,55.3,882.25,747.67,165.35,410.65,3.03,344.0,93450.0
20190101:1500,29.8,51.9,961.7,782.66,179.9,403.9,2.62,343.0,93410.0
20190101:1600,31.18,44.2,713.4,584.7,139.7,424.0,2.34,336.0,93330.0
20190101:1700,31.04,42.7,721.8,651.08,131.3,425.0,2.0,334.0,93260.0
20190101:1800,31.24,42.7,463.5,457.09,106.4,418.4,1.24,336.0,93180.0
20190101:1900,30.97,41.15,261.75,298.56,78.85,421.5,0.55,32.0,93160.0
20190101:2000,28.41,51.55,100.7,123.86,49.6,426.35,1.72,89.0,93230.0
20190101:2100,26.28,62.65,29.15,95.26,10.6,421.1,2.83,97.0,93250.0
20190101:2200,25.18,69.25,0.0,-0.0,0.0,416.3,3.1,87.0,93330.0
20190101:2300,24.24,73.85,0.0,-0.0,0.0,407.4,3.24,85.0,93400.0
20190102:0000,23.62,78.9,0.0,-0.0,0.0,401.4,2.69,78.0,93470.0
20190102:0100,23.52,78.9,0.0,-0.0,0.0,405.95,1.93,74.0,93540.0
20190102:0200,23.27,81.5,0.0,-0.0,0.0,399.65,1.52,67.0,93520.0
20190102:0300,23.17,81.5,0.0,-0.0,0.0,406.8,1.31,46.0,93500.0
20190102:0400,22.7,84.25,0.0,-0.0,0.0,389.75,1.24,35.0,93420.0
20190102:0500,22.5,81.45,0.0,-0.0,0.0,394.8,1.24,23.0,93390.0
20190102:0600,22.29,84.15,0.0,-0.0,0.0,394.8,1.17,14.0,93380.0
20190102:0700,22.01,84.15,0.0,-0.0,0.0,383.75,0.97,30.0,93370.0
20190102:0800,21.74,87.0,0.0,-0.0,0.0,380.1,0.9,44.0,93430.0
20190102:0900,21.55,87.0,144.55,929.49,45.85,386.3,1.17,35.0,93470.0
20190102:1000,23.76,76.3,317.2,669.9,98.05,396.15,1.59,5.0,93520.0
20190102:1100,25.19,71.6,537.1,835.97,88.95,391.3,2.34,346.0,93600.0
20190102:1200,26.93,64.95,662.9,690.67,166.45,397.5,3.1,330.0,93590.0
20190102:1300,28.05,61.0,712.55,583.73,208.9,405.25,3.72,326.0,93550.0
20190102:1400,28.8,59.1,701.15,501.35,220.7,418.4,3.72,325.0,93510.0
20190102:1500,29.64,55.5,818.0,555.56,263.1,423.85,3.66,324.0,93450.0
20190102:1600,31.08,47.25,862.9,612.56,261.65,421.3,3.86,322.0,93340.0
20190102:1700,32.28,41.55,472.5,221.73,271.25,426.75,3.79,320.0,93300.0
20190102:1800,31.42,44.2,443.7,354.06,166.75,432.15,3.31,306.0,93250.0
20190102:1900,31.14,42.7,368.8,420.28,110.85,430.2,3.03,302.0,93200.0
20190102:2000,29.99,47.0,137.15,174.01,65.15,427.1,2.62,302.0,93170.0
20190102:2100,28.66,53.45,34.35,75.05,19.65,416.85,2.21,358.0,93200.0
20190102:2200,27.47,60.9,0.0,-0.0,0.0,411.05,2.41,23.0,93250.0
20190102:2300,26.66,67.15,0.0,-0.0,0.0,415.5,2.07,27.0,93310.0
20190103:0000,26.1,71.65,0.0,-0.0,0.0,413.0,1.86,34.0,93370.0
20190103:0100,25.48,69.3,0.0,-0.0,0.0,399.55,1.79,35.0,93410.0
20190103:0200,25.2,71.6,0.0,-0.0,0.0,406.8,1.72,30.0,93400.0
20190103:0300,24.75,73.95,0.0,-0.0,0.0,400.6,1.72,27.0,93340.0
20190103:0400,24.32,73.85,0.0,-0.0,0.0,397.5,1.72,21.0,93260.0
20190103:0500,24.12,73.85,0.0,-0.0,0.0,401.95,1.79,10.0,93220.0
20190103:0600,23.72,76.3,0.0,-0.0,0.0,393.25,1.86,357.0,93200.0
20190103:0700,23.6,73.75,0.0,-0.0,0.0,392.65,2.07,12.0,93180.0
20190103:0800,23.58,76.3,0.0,-0.0,0.0,397.1,2.21,10.0,93250.0
20190103:0900,23.57,76.3,142.5,932.76,45.55,391.7,2.28,10.0,93290.0
20190103:1000,25.1,71.6,341.95,803.51,80.75,389.0,2.69,2.0,93340.0
20190103:1100,27.12,65.0,558.3,832.1,113.7,399.85,3.45,348.0,93340.0
20190103:1200,28.81,55.3,766.55,912.76,111.75,398.85,4.07,331.0,93350.0
20190103:1300,30.28,48.65,851.65,808.98,154.45,405.05,4.48,318.0,93330.0
20190103:1400,31.64,44.3,792.25,652.91,166.9,425.55,4.62,313.0,93290.0
20190103:1500,32.24,42.95,969.05,814.69,155.4,425.4,4.48,314.0,93240.0
20190103:1600,33.37,39.05,593.85,367.92,232.6,430.4,4.48,312.0,93180.0
20190103:1700,32.43,41.55,318.75,151.54,181.1,445.9,4.21,304.0,93130.0
20190103:1800,27.29,67.2,367.05,196.07,213.5,441.65,3.03,291.0,93100.0
20190103:1900,28.72,69.75,284.5,187.85,169.0,424.6,1.72,254.0,92970.0
