Latitude (decimal degrees): -22.815
Longitude (decimal degrees): -47.063
Elevation (m): 615.0
Irradiance Time Offset (h): 0.0589
month,year
1,2020
2,2009
3,2007
4,2006
5,2006
6,2007
7,2012
8,2020
9,2015
10,2015
11,2006
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200101:0000,22.67,75.05,0.0,-0.0,0.0,391.98,1.81,53.0,92820.0
20200101:0100,22.54,75.02,0.0,-0.0,0.0,388.76,1.74,98.0,92850.0
20200101:0200,22.41,74.99,0.0,-0.0,0.0,385.53,1.67,98.0,92880.0
20200101:0300,22.28,74.95,0.0,-0.0,0.0,382.31,1.6,74.0,92870.0
20200101:0400,22.15,74.92,0.0,-0.0,0.0,379.08,1.53,36.0,92860.0
20200101:0500,22.02,74.89,0.0,-0.0,0.0,375.86,1.46,8.0,92830.0
20200101:0600,21.89,74.86,0.0,-0.0,0.0,372.63,1.39,356.0,92830.0
20200101:0700,21.76,74.83,0.0,-0.0,0.0,369.41,1.32,21.0,92830.0
20200101:0800,20.91,75.85,0.0,-0.0,0.0,367.9,2.14,18.0,92840.0
20200101:0900,21.2,78.55,72.0,214.03,46.0,374.45,2.14,11.0,92890.0
20200101:1000,23.18,71.25,297.0,564.4,104.0,366.15,2.41,4.0,92910.0
20200101:1100,25.3,64.7,553.0,804.43,111.0,376.6,3.17,356.0,92900.0
20200101:1200,27.09,58.8,781.0,915.26,113.0,380.45,3.38,343.0,92900.0
20200101:1300,28.43,53.45,898.0,791.21,209.0,393.25,3.38,325.0,92880.0
20200101:1400,29.44,51.8,1008.0,815.34,223.0,413.95,3.24,318.0,92840.0
20200101:1500,30.15,50.3,1037.0,782.42,255.0,418.6,3.03,317.0,92820.0
20200101:1600,30.99,50.45,1079.0,960.8,139.0,416.45,2.83,321.0,92730.0
20200101:1700,31.54,47.25,953.0,862.47,176.0,439.9,2.69,324.0,92660.0
20200101:1800,31.54,45.7,763.0,708.19,216.0,437.4,2.48,329.0,92560.0
20200101:1900,32.05,40.0,552.0,586.8,199.0,417.05,2.07,317.0,92440.0
20200101:2000,31.01,41.15,33.0,0.0,33.0,425.75,2.41,320.0,92440.0
20200101:2100,29.35,46.75,12.0,0.0,12.0,418.6,2.9,308.0,92480.0
20200101:2200,27.81,51.55,0.0,-0.0,0.0,420.15,1.93,302.0,92560.0
20200101:2300,26.93,58.8,0.0,-0.0,0.0,411.05,1.17,264.0,92640.0
20200102:0000,25.85,67.05,0.0,-0.0,0.0,409.1,1.1,253.0,92710.0
20200102:0100,25.17,66.95,0.0,-0.0,0.0,409.25,1.31,247.0,92760.0
20200102:0200,24.67,71.5,0.0,-0.0,0.0,413.55,1.1,263.0,92760.0
20200102:0300,24.12,73.85,0.0,-0.0,0.0,406.6,1.24,303.0,92730.0
20200102:0400,23.67,73.75,0.0,-0.0,0.0,403.9,1.45,328.0,92680.0
20200102:0500,23.25,78.85,0.0,-0.0,0.0,399.25,1.66,341.0,92650.0
20200102:0600,22.86,81.45,0.0,-0.0,0.0,396.55,1.79,351.0,92620.0
20200102:0700,21.29,86.95,0.0,-0.0,0.0,392.3,1.38,10.0,92620.0
20200102:0800,21.14,86.95,0.0,-0.0,0.0,390.55,1.45,358.0,92640.0
20200102:0900,21.19,86.95,40.0,16.77,38.0,391.7,1.79,358.0,92740.0
20200102:1000,21.74,84.1,149.0,32.36,138.0,397.5,2.48,356.0,92770.0
20200102:1100,22.12,84.15,142.0,0.0,142.0,403.3,3.31,353.0,92850.0
20200102:1200,23.37,78.85,340.0,26.08,321.0,396.35,4.0,349.0,92830.0
20200102:1300,24.61,73.95,408.0,22.99,388.0,412.0,3.59,347.0,92890.0
20200102:1400,26.54,67.15,636.0,138.21,503.0,417.45,3.24,335.0,92860.0
20200102:1500,27.55,63.0,714.0,193.12,521.0,415.1,3.31,331.0,92800.0
20200102:1600,26.51,69.4,1057.0,928.77,148.0,420.55,3.31,333.0,92700.0
20200102:1700,27.06,67.2,811.0,500.21,360.0,406.2,3.24,322.0,92670.0
20200102:1800,25.46,74.0,508.0,148.7,393.0,417.85,1.93,302.0,92630.0
20200102:1900,23.84,78.9,310.0,53.09,278.0,420.15,2.83,347.0,92700.0
20200102:2000,23.3,84.25,33.0,0.0,33.0,412.4,2.41,3.0,92720.0
20200102:2100,22.98,87.1,12.0,0.0,12.0,406.2,1.59,42.0,92740.0
20200102:2200,21.99,89.95,0.0,-0.0,0.0,410.3,1.52,107.0,92820.0
20200102:2300,21.19,93.0,0.0,-0.0,0.0,405.85,2.0,138.0,92910.0
20200103:0000,21.1,93.0,0.0,-0.0,0.0,409.9,2.0,126.0,92960.0
20200103:0100,21.02,92.95,0.0,-0.0,0.0,405.95,1.93,124.0,92980.0
20200103:0200,20.79,92.95,0.0,-0.0,0.0,395.4,1.72,126.0,92950.0
20200103:0300,20.53,92.95,0.0,-0.0,0.0,389.75,1.79,130.0,92890.0
20200103:0400,20.35,92.95,0.0,-0.0,0.0,387.45,1.66,131.0,92850.0
20200103:0500,20.3,92.95,0.0,-0.0,0.0,387.85,1.38,132.0,92820.0
20200103:0600,20.59,92.95,0.0,-0.0,0.0,410.65,1.31,137.0,92830.0
20200103:0700,20.72,92.95,0.0,-0.0,0.0,409.7,0.0,210.0,92870.0
20200103:0800,20.61,92.95,0.0,-0.0,0.0,412.6,0.41,162.0,92910.0
20200103:0900,20.43,96.1,53.0,85.45,43.0,393.05,0.69,143.0,92960.0
20200103:1000,21.04,89.95,202.0,139.1,155.0,379.7,1.31,146.0,93010.0
20200103:1100,21.72,87.0,531.0,752.8,120.0,391.3,2.0,144.0,93040.0
20200103:1200,23.14,81.5,738.0,807.34,151.0,383.95,2.0,144.0,93070.0
20200103:1300,24.49,76.35,732.0,391.3,392.0,413.4,2.28,147.0,93100.0
20200103:1400,25.24,71.6,609.0,113.33,500.0,421.3,2.69,151.0,93090.0
20200103:1500,25.92,67.05,558.0,60.04,498.0,416.65,2.97,158.0,93040.0
20200103:1600,26.3,64.95,351.0,2.04,349.0,412.4,3.45,165.0,92970.0
20200103:1700,25.6,64.8,451.0,33.25,421.0,409.7,4.14,167.0,92870.0
20200103:1800,25.08,64.7,167.0,0.0,167.0,407.75,4.97,163.0,92810.0
20200103:1900,23.46,71.25,54.0,0.0,54.0,400.8,3.79,169.0,92860.0
20200103:2000,23.08,71.25,33.0,0.0,33.0,403.9,4.34,159.0,92870.0
20200103:2100,22.15,78.7,12.0,0.0,12.0,408.35,3.72,153.0,92920.0
20200103:2200,21.29,84.05,0.0,-0.0,0.0,407.0,3.45,146.0,92980.0
20200103:2300,20.66,86.9,0.0,-0.0,0.0,401.4,3.38,140.0,93030.0
20200104:0000,20.21,86.85,0.0,-0.0,0.0,392.45,2.97,138.0,93060.0
20200104:0100,19.8,89.85,0.0,-0.0,0.0,381.55,2.55,142.0,93090.0
20200104:0200,19.53,89.85,0.0,-0.0,0.0,378.35,2.48,139.0,93060.0
20200104:0300,19.3,92.9,0.0,-0.0,0.0,376.6,2.21,133.0,92980.0
20200104:0400,19.0,92.85,0.0,-0.0,0.0,367.7,2.07,137.0,92920.0
20200104:0500,18.84,92.85,0.0,-0.0,0.0,371.55,2.14,139.0,92870.0
20200104:0600,18.69,92.85,0.0,-0.0,0.0,368.65,1.93,143.0,92860.0
20200104:0700,18.48,89.75,0.0,-0.0,0.0,360.15,1.86,138.0,92830.0
20200104:0800,18.27,92.85,0.0,-0.0,0.0,365.4,1.86,142.0,92860.0
20200104:0900,18.3,92.85,53.0,87.14,43.0,372.15,1.79,148.0,92870.0
20200104:1000,18.95,96.1,102.0,2.98,101.0,373.3,1.79,152.0,92950.0
20200104:1100,20.66,86.9,130.0,0.0,130.0,380.45,2.0,149.0,92950.0
20200104:1200,21.67,81.35,278.0,5.51,274.0,395.0,2.14,140.0,93000.0
20200104:1300,22.87,76.15,302.0,1.15,301.0,383.95,1.59,131.0,92990.0
20200104:1400,22.8,76.15,714.0,226.79,496.0,402.55,1.59,171.0,92970.0
20200104:1500,24.01,73.75,730.0,208.15,522.0,400.6,1.66,177.0,92900.0
20200104:1600,24.49,71.4,1071.0,950.58,140.0,409.9,1.79,186.0,92850.0
20200104:1700,25.64,67.05,768.0,398.67,408.0,394.2,2.28,197.0,92740.0
20200104:1800,25.94,67.05,731.0,608.83,259.0,402.9,2.62,206.0,92640.0
20200104:1900,23.11,73.7,464.0,305.83,279.0,396.35,3.38,186.0,92630.0
20200104:2000,22.2,81.4,280.0,242.85,182.0,412.2,2.9,183.0,92630.0
20200104:2100,22.16,81.4,137.0,421.91,59.0,391.1,2.21,166.0,92650.0
20200104:2200,21.7,84.1,0.0,-0.0,0.0,393.05,2.07,144.0,92740.0
20200104:2300,21.22,86.95,0.0,-0.0,0.0,392.1,2.0,137.0,92750.0
20200105:0000,20.75,86.9,0.0,-0.0,0.0,377.4,1.45,137.0,92830.0
